id,formula,elements,n_elements,a,b,c,alpha,beta,gamma,volume,spacegroup,element_1,element_2,element_3,element_4,element_5,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5
159,N-Cs-H,"N,Cs,H",3,4.1008,4.9552,7.2426,89.64,89.29,98.86,147.17,1,N,Cs,H,,,0.5849,0.3041,0.1026,0.0068,0.0016
160,O-I-S,"O,I,S",3,5.5591,5.9717,7.1658,97.33,95.36,106.05,237.88,2,O,I,S,,,0.5493,0.2848,0.1421,0.0191,0.0047
161,H-O-O-H,"H,O,O,H",4,4.3898,5.5957,9.1243,88.51,88.41,94.58,224.13,143,H,O,O,H,,0.4592,0.3431,0.16,0.0204,0.0173
162,Ba-Cs-H,"Ba,Cs,H",3,4.7356,5.1671,6.7506,94.31,93.03,107.51,165.18,1,Ba,Cs,H,,,0.5245,0.3446,0.1158,0.0121,0.0029
163,O-I-I-H,"O,I,I,H",4,4.9504,5.999,9.4484,91.66,91.06,97.93,280.6,184,O,I,I,H,,0.5103,0.2403,0.2135,0.0215,0.0143
164,O-Cl-S,"O,Cl,S",3,6.8203,6.861,5.4638,93.99,92.67,116.75,255.67,9,O,Cl,S,,,0.6012,0.2732,0.1164,0.0069,0.0023
165,O-H-S,"O,H,S",3,5.3531,5.5096,6.0407,96.6,94.58,107.03,178.16,2,O,H,S,,,0.5165,0.2976,0.1668,0.0143,0.0048
166,N-Ge-O,"N,Ge,O",3,4.4513,5.0023,6.573,93.31,92.11,103.21,146.36,1,N,Ge,O,,,0.5205,0.3471,0.1225,0.0079,0.0019
167,Ga-Cs-H,"Ga,Cs,H",3,4.448,5.1041,7.225,91.27,90.78,103.36,164.03,1,Ga,Cs,H,,,0.5214,0.3685,0.1001,0.0077,0.0022
168,O-O-O,"O,O,O",3,4.5521,4.7693,5.6799,93.73,92.22,102.44,123.31,1,O,O,O,,,0.4504,0.4135,0.1248,0.0076,0.0037
169,O-I-Ti-H,"O,I,Ti,H",4,5.5228,6.6995,10.8304,92.63,92.05,96.97,400.72,185,O,I,Ti,H,,0.5816,0.2103,0.1731,0.0237,0.0114
170,O-Sc-I,"O,Sc,I",3,5.0195,6.0459,9.5123,91.88,91.28,98.52,288.67,187,O,Sc,I,,,0.5252,0.236,0.2082,0.0185,0.0121
171,N-Ba-H,"N,Ba,H",3,4.2217,4.9462,7.1214,90.16,89.8,101.5,148.7,1,N,Ba,H,,,0.54,0.3479,0.1033,0.0069,0.0019
172,O-H-S,"O,H,S",3,5.1333,5.26,5.7867,95.74,93.9,105.88,156.25,1,O,H,S,,,0.5105,0.3107,0.1637,0.0112,0.004
173,H-Ge-O,"H,Ge,O",3,4.5687,4.9237,5.9065,95.56,93.64,105.97,132.87,1,H,Ge,O,,,0.5225,0.3449,0.122,0.0086,0.0021
174,H-Ge-O,"H,Ge,O",3,4.5723,4.9503,5.9582,95.65,93.74,105.87,134.86,1,H,Ge,O,,,0.544,0.3263,0.1189,0.0089,0.0019
175,N-Ge-O,"N,Ge,O",3,4.5976,5.0713,6.3865,95.01,93.43,105.53,148.91,1,N,Ge,O,,,0.5576,0.3122,0.12,0.0085,0.0017
176,N-Cs-H,"N,Cs,H",3,4.5089,4.9338,6.3495,94.23,92.79,106.56,141.25,1,N,Cs,H,,,0.541,0.3436,0.1064,0.0073,0.0017
177,Ba-Cs-H,"Ba,Cs,H",3,4.5768,4.9874,6.4022,94.52,93.04,107.38,146.14,1,Ba,Cs,H,,,0.5416,0.3344,0.1118,0.0098,0.0023
178,O-H-H,"O,H,H",3,5.0812,5.067,5.4403,93.51,92.58,101.77,140.07,2,O,H,H,,,0.5241,0.3155,0.1494,0.0077,0.0033
179,H-Ba-H,"H,Ba,H",3,4.0232,4.8093,6.9548,89.39,88.96,98.67,134.57,1,H,Ba,H,,,0.5691,0.3296,0.0946,0.0053,0.0014
180,O-Sc-I-H,"O,Sc,I,H",4,5.2236,6.2938,9.9168,92.46,91.81,98.21,326.02,184,O,Sc,I,H,,0.5415,0.2236,0.2032,0.0203,0.0114
181,O-I-I-H,"O,I,I,H",4,5.0353,6.1125,9.6771,91.83,91.22,97.68,297.85,184,O,I,I,H,,0.5169,0.2348,0.2119,0.0222,0.0142
182,N-Cs-O,"N,Cs,O",3,4.1427,5.2545,8.0661,88.73,88.59,95.62,175.59,2,N,Cs,O,,,0.584,0.3028,0.1018,0.009,0.0024
183,O-H-I,"O,H,I",3,4.8217,5.8047,9.0445,91.27,90.69,98.49,253.14,177,O,H,I,,,0.4986,0.248,0.2199,0.02,0.0135
184,H-O-O,"H,O,O",3,4.3422,4.8196,6.3095,93.05,91.79,103.58,132.04,1,H,O,O,,,0.5107,0.3772,0.104,0.0062,0.0019
185,Ga-O-H,"Ga,O,H",3,4.4372,4.9628,6.7475,91.62,90.85,102.31,148.58,1,Ga,O,H,,,0.4881,0.4016,0.1013,0.0066,0.0023
186,N-Cs-H,"N,Cs,H",3,4.0254,4.7874,6.8303,90.09,89.52,99.43,131.63,1,N,Cs,H,,,0.585,0.3062,0.1009,0.0064,0.0016
187,O-I-Ti-H,"O,I,Ti,H",4,5.6523,6.8587,11.2182,92.63,92.14,96.9,434.9,185,O,I,Ti,H,,0.5959,0.2069,0.1657,0.0212,0.0103
188,O-Sc-Ti,"O,Sc,Ti",3,5.3689,6.461,10.2705,92.62,92.01,98.09,356.27,186,O,Sc,Ti,,,0.5568,0.2202,0.1938,0.0187,0.0104
189,N-Cs-H,"N,Cs,H",3,4.2696,5.0237,7.3642,89.69,89.52,101.35,157.96,1,N,Cs,H,,,0.5406,0.3515,0.0987,0.0071,0.0021
190,N-Cs-O,"N,Cs,O",3,4.0407,5.0296,7.5603,89.11,88.84,97.34,153.65,1,N,Cs,O,,,0.5885,0.3027,0.1004,0.0067,0.0017
191,O-Sc-I-H,"O,Sc,I,H",4,5.2056,6.2756,9.9054,92.4,91.76,98.22,323.59,185,O,Sc,I,H,,0.5393,0.2253,0.2033,0.0204,0.0118
192,H-O-O-H,"H,O,O,H",4,4.5196,5.9407,10.3178,88.16,88.31,94.09,277.03,155,H,O,O,H,,0.4589,0.3589,0.1433,0.0206,0.0183
193,N-Cs-O,"N,Cs,O",3,4.0075,4.9049,7.1747,89.7,89.24,97.99,141.03,1,N,Cs,O,,,0.5873,0.2985,0.1053,0.0071,0.0019
194,O-Ba-I-H,"O,Ba,I,H",4,4.8097,5.8209,9.0856,91.37,90.76,97.95,254.37,182,O,Ba,I,H,,0.501,0.2475,0.2155,0.0212,0.0149
195,O-I-Se,"O,I,Se",3,6.2565,6.4242,6.752,98.53,96.26,111.1,271.38,4,O,I,Se,,,0.5785,0.2652,0.1327,0.0184,0.005
196,O-I-P,"O,I,P",3,5.656,5.8973,6.4876,97.68,95.53,107.85,216.4,1,O,I,P,,,0.5353,0.2996,0.1454,0.0162,0.0035
197,N-Cs-H,"N,Cs,H",3,4.0547,4.8192,6.8697,89.99,89.46,99.1,134.24,1,N,Cs,H,,,0.5844,0.3031,0.1038,0.007,0.0017
198,H-Ge-O,"H,Ge,O",3,4.5068,4.871,5.9184,95.06,93.26,105.21,129.92,1,H,Ge,O,,,0.5123,0.3557,0.1217,0.0082,0.0021
199,O-Sc-I,"O,Sc,I",3,4.9774,6.0077,9.4991,91.61,91.1,99.23,284.05,180,O,Sc,I,,,0.5172,0.2396,0.2135,0.018,0.0116
200,Tl-Cs-H,"Tl,Cs,H",3,4.5977,5.5288,8.7832,87.62,88.33,99.38,223.27,1,Tl,Cs,H,,,0.4912,0.4115,0.0864,0.0077,0.0032
